"","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageFinish","GarageCars","GarageArea","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","House_Age_Yrs","RemodAdd_Age_Yrs","Garage_Age_Yrs","SalePrice","RoofMatl_WdShngl","FireplaceQu_Ex","HeatingQC_Ex","GarageQual_abv_avg","PoolQC_Ex","Heating_Gas","SaleCondition_Partial","OverallQual2_x_GarageCars","OverallQual2_x_TotRmsAbvGrd_log","OverallQual2_x_GrLivArea","OverallQual2_x_LotArea_log","OverallQual_2"
"1","60","RL",65,8450,"Pave","NoA","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,"Gable","VinylSd","VinylSd","BrkFace",196,"Gd","TA","PConc","Gd","TA","No","GLQ",706,"Unf",0,150,856,"Y","SBrkr",856,854,0,1710,1,0,2,1,3,1,"Gd",8,"Typ",0,"Attchd","RFn",2,548,"TA","Y",0,61,0,0,0,0,"NoF","NoM",0,"2","2008","WD",5,5,5,208500,0,0,1,1,0,1,0,98,101.892635542312,83790,443.05416429721,49
"2","20","RL",80,9600,"Pave","NoA","Reg","Lvl","AllPub","FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story",6,8,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ",978,"Unf",0,284,1262,"Y","SBrkr",1262,0,0,1262,0,1,2,0,3,1,"TA",6,"Typ",1,"Attchd","RFn",2,460,"TA","Y",298,0,0,0,0,0,"NoF","NoM",0,"5","2007","WD",31,31,31,181500,0,0,1,1,0,1,0,72,64.50334089221,45432,330.102661588413,36
"3","60","RL",68,11250,"Pave","NoA","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,"Gable","VinylSd","VinylSd","BrkFace",162,"Gd","TA","PConc","Gd","TA","Mn","GLQ",486,"Unf",0,434,920,"Y","SBrkr",920,866,0,1786,1,0,2,1,3,1,"Gd",6,"Typ",1,"Attchd","RFn",2,608,"TA","Y",0,42,0,0,0,0,"NoF","NoM",0,"9","2008","WD",7,6,7,223500,0,0,1,1,0,1,0,98,87.7962139921747,87514,457.078046973996,49
"4","70","RL",60,9550,"Pave","NoA","IR1","Lvl","AllPub","Corner","Gtl","Crawfor","Norm","Norm","1Fam","2Story",7,5,"Gable","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","TA","Gd","No","ALQ",216,"Unf",0,540,756,"Y","SBrkr",961,756,0,1717,1,0,1,0,3,1,"Gd",7,"Typ",1,"Detchd","Unf",3,642,"TA","Y",0,35,272,0,0,0,"NoF","NoM",0,"2","2006","WD",91,36,8,140000,0,0,0,1,0,1,0,147,95.3495973037104,84133,449.050525240264,49
"5","60","RL",84,14260,"Pave","NoA","IR1","Lvl","AllPub","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,"Gable","VinylSd","VinylSd","BrkFace",350,"Gd","TA","PConc","Gd","TA","Av","GLQ",655,"Unf",0,490,1145,"Y","SBrkr",1145,1053,0,2198,1,0,2,1,4,1,"Gd",9,"Typ",1,"Attchd","RFn",3,836,"TA","Y",192,84,0,0,0,0,"NoF","NoM",0,"12","2008","WD",8,8,8,250000,0,0,1,1,0,1,0,192,140.622372949518,140672,612.17367641397,64
"6","50","RL",85,14115,"Pave","NoA","IR1","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin",5,5,"Gable","VinylSd","VinylSd","None",0,"TA","TA","Wood","Gd","TA","No","GLQ",732,"Unf",0,64,796,"Y","SBrkr",796,566,0,1362,1,0,1,1,1,1,"TA",5,"Typ",0,"Attchd","Unf",2,480,"TA","Y",40,30,0,320,0,0,"MnPrv","Shed",700,"10","2009","WD",16,14,16,143000,0,0,1,1,0,1,0,50,40.2359478108525,34050,238.87483351719,25
"7","20","RL",75,10084,"Pave","NoA","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,"Gable","VinylSd","VinylSd","Stone",186,"Gd","TA","PConc","Ex","TA","Av","GLQ",1369,"Unf",0,317,1686,"Y","SBrkr",1694,0,0,1694,1,0,2,0,3,1,"Gd",7,"Typ",1,"Attchd","RFn",2,636,"TA","Y",255,57,0,0,0,0,"NoF","NoM",0,"8","2007","WD",3,2,3,307000,0,0,1,1,0,1,0,128,124.53824953954,108416,589.9971384517,64
"8","60","RL",0,10382,"Pave","NoA","IR1","Lvl","AllPub","Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story",7,6,"Gable","HdBoard","HdBoard","Stone",240,"TA","TA","CBlock","Gd","TA","Mn","ALQ",859,"BLQ",32,216,1107,"Y","SBrkr",1107,983,0,2090,1,0,2,1,3,1,"TA",7,"Typ",2,"Attchd","RFn",2,484,"TA","Y",235,204,228,0,0,0,"NoF","Shed",350,"11","2009","WD",36,36,36,200000,0,0,1,1,0,1,0,98,95.3495973037104,102410,453.143612002972,49
"9","50","RM",51,6120,"Pave","NoA","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",7,5,"Gable","BrkFace","Wd Shng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,952,952,"Y","FuseF",1022,752,0,1774,0,0,2,0,2,2,"TA",8,"Min1",2,"Detchd","Unf",2,468,"TA","Y",90,0,205,0,0,0,"NoF","NoM",0,"4","2008","WD",77,58,77,129900,0,0,0,0,0,1,0,98,101.892635542312,86926,427.246551399812,49
"10","190","RL",50,7420,"Pave","NoA","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","GLQ",851,"Unf",0,140,991,"Y","SBrkr",1077,0,0,1077,1,0,1,0,2,2,"TA",5,"Typ",2,"Attchd","RFn",1,205,"TA","Y",0,4,0,0,0,0,"NoF","NoM",0,"1","2008","WD",69,58,69,118000,0,0,1,1,0,1,0,25,40.2359478108525,26925,222.798358404036,25
"11","20","RL",70,11200,"Pave","NoA","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,5,"Hip","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Rec",906,"Unf",0,134,1040,"Y","SBrkr",1040,0,0,1040,1,0,1,0,3,1,"TA",5,"Typ",0,"Detchd","Unf",1,384,"TA","Y",0,0,0,0,0,0,"NoF","NoM",0,"2","2008","WD",43,43,43,129500,0,0,1,1,0,1,0,25,40.2359478108525,26000,233.09172643208,25
"12","60","RL",85,11924,"Pave","NoA","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,"Hip","WdShing","Wd Shng","Stone",286,"Ex","TA","PConc","Ex","TA","No","GLQ",998,"Unf",0,177,1175,"Y","SBrkr",1182,1142,0,2324,1,0,3,0,4,1,"Ex",11,"Typ",2,"BuiltIn","Fin",3,736,"TA","Y",147,21,0,0,0,0,"NoF","NoM",0,"7","2006","New",1,0,1,345000,0,0,1,1,0,1,1,243,194.229517096668,188244,760.290984838635,81
"13","20","RL",0,12968,"Pave","NoA","IR2","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,"Hip","HdBoard","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",737,"Unf",0,175,912,"Y","SBrkr",912,0,0,912,1,0,1,0,2,1,"TA",4,"Typ",0,"Detchd","Unf",1,352,"TA","Y",140,0,0,0,176,0,"NoF","NoM",0,"9","2008","WD",46,46,46,144000,0,0,0,1,0,1,0,25,34.6573590279973,22800,236.756001585388,25
"14","20","RL",91,10652,"Pave","NoA","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,"Gable","VinylSd","VinylSd","Stone",306,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,1494,1494,"Y","SBrkr",1494,0,0,1494,0,0,2,0,3,1,"Gd",7,"Typ",1,"Attchd","RFn",3,840,"TA","Y",160,33,0,0,0,0,"NoF","NoM",0,"8","2007","New",1,0,1,279500,0,0,1,1,0,1,1,147,95.3495973037104,73206,454.401644399757,49
"15","20","RL",0,10920,"Pave","NoA","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,"Hip","MetalSd","MetalSd","BrkFace",212,"TA","TA","CBlock","TA","TA","No","BLQ",733,"Unf",0,520,1253,"Y","SBrkr",1253,0,0,1253,1,0,1,1,2,1,"TA",5,"Typ",1,"Attchd","RFn",1,352,"TA","Y",0,213,176,0,0,0,"GdWo","NoM",0,"5","2008","WD",48,48,48,157000,0,0,0,1,0,1,0,36,57.9397648476276,45108,334.74064497476,36
"16","45","RM",51,6120,"Pave","NoA","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Norm","Norm","1Fam","1.5Unf",7,8,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,832,832,"Y","FuseA",854,0,0,854,0,0,1,0,2,1,"TA",5,"Typ",0,"Detchd","Unf",2,576,"TA","Y",48,112,0,0,0,0,"GdPrv","NoM",0,"7","2007","WD",78,6,16,132000,0,0,1,1,0,1,0,98,78.8624577092709,41846,427.246551399812,49
"17","20","RL",0,11241,"Pave","NoA","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,7,"Gable","Wd Sdng","Wd Sdng","BrkFace",180,"TA","TA","CBlock","TA","TA","No","ALQ",578,"Unf",0,426,1004,"Y","SBrkr",1004,0,0,1004,1,0,1,0,2,1,"TA",5,"Typ",1,"Attchd","Fin",2,480,"TA","Y",0,0,0,0,0,0,"NoF","Shed",700,"3","2010","WD",40,40,40,149000,0,0,1,1,0,1,0,72,57.9397648476276,36144,335.783631148625,36
"18","90","RL",72,10791,"Pave","NoA","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","Duplex","1Story",4,5,"Gable","MetalSd","MetalSd","None",0,"TA","TA","Slab","NoB","NoB","NoB","NoB",0,"NoB",0,0,0,"Y","SBrkr",1296,0,0,1296,0,0,2,0,2,2,"TA",6,"Typ",0,"CarPort","Unf",2,516,"TA","Y",0,0,0,0,0,0,"NoF","Shed",500,"10","2006","WD",39,39,39,90000,0,0,0,1,0,1,0,32,28.6681515076489,20736,148.58348371782,16
"19","20","RL",66,13695,"Pave","NoA","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","RRAe","Norm","1Fam","1Story",5,5,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","GLQ",646,"Unf",0,468,1114,"Y","SBrkr",1114,0,0,1114,1,0,1,1,3,1,"Gd",6,"Typ",0,"Detchd","Unf",2,576,"TA","Y",0,102,0,0,0,0,"NoF","NoM",0,"6","2008","WD",4,4,4,159000,0,0,1,1,0,1,0,50,44.7939867307014,27850,238.119652042429,25
"20","20","RL",70,7560,"Pave","NoA","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,"Hip","BrkFace","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",504,"Unf",0,525,1029,"Y","SBrkr",1339,0,0,1339,0,0,1,0,3,1,"TA",6,"Min1",0,"Attchd","Unf",1,294,"TA","Y",0,0,0,0,0,0,"MnPrv","NoM",0,"5","2009","COD",51,44,51,139000,0,0,0,1,0,1,0,25,44.7939867307014,33475,223.265661729339,25
"21","60","RL",101,14215,"Pave","NoA","IR1","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,"Gable","VinylSd","VinylSd","BrkFace",380,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",0,1158,1158,"Y","SBrkr",1158,1218,0,2376,0,0,3,1,4,1,"Gd",9,"Typ",1,"BuiltIn","RFn",3,853,"TA","Y",240,154,0,0,0,0,"NoF","NoM",0,"11","2006","New",1,0,1,325300,0,0,1,1,0,1,1,192,140.622372949518,152064,611.971393541446,64
"22","45","RM",57,7449,"Pave","Grvl","Reg","Bnk","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Unf",7,7,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,637,637,"Y","FuseF",1108,0,0,1108,0,0,1,0,3,1,"Gd",6,"Typ",1,"Attchd","Unf",1,280,"TA","N",0,0,205,0,0,0,"GdPrv","NoM",0,"6","2007","WD",77,57,77,139400,0,0,1,1,0,1,0,49,87.7962139921747,54292,436.875918634638,49
"23","20","RL",75,9742,"Pave","NoA","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,"Hip","VinylSd","VinylSd","BrkFace",281,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1777,1777,"Y","SBrkr",1795,0,0,1795,0,0,2,0,3,1,"Gd",7,"Typ",1,"Attchd","RFn",2,534,"TA","Y",171,159,0,0,0,0,"NoF","NoM",0,"9","2008","WD",6,6,6,230000,0,0,1,1,0,1,0,128,124.53824953954,114880,587.788909719455,64
"24","120","RM",44,4224,"Pave","NoA","Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","1Story",5,7,"Gable","CemntBd","CmentBd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",840,"Unf",0,200,1040,"Y","SBrkr",1060,0,0,1060,1,0,1,0,3,1,"TA",6,"Typ",1,"Attchd","Unf",2,572,"TA","Y",100,110,0,0,0,0,"NoF","NoM",0,"6","2007","WD",31,31,31,129900,0,0,0,1,0,1,0,50,44.7939867307014,26500,208.713445634652,25
"25","20","RL",0,8246,"Pave","NoA","IR1","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,8,"Gable","Plywood","Plywood","None",0,"TA","Gd","CBlock","TA","TA","Mn","Rec",188,"ALQ",668,204,1060,"Y","SBrkr",1060,0,0,1060,1,0,1,0,3,1,"Gd",6,"Typ",1,"Attchd","Unf",1,270,"TA","Y",406,90,0,0,0,0,"MnPrv","NoM",0,"5","2010","WD",42,9,42,154000,0,0,1,1,0,1,0,25,44.7939867307014,26500,225.437087831671,25
"26","20","RL",110,14230,"Pave","NoA","Reg","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,"Gable","VinylSd","VinylSd","Stone",640,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1566,1566,"Y","SBrkr",1600,0,0,1600,0,0,2,0,3,1,"Gd",7,"Typ",1,"Attchd","RFn",3,890,"TA","Y",0,56,0,0,0,0,"NoF","NoM",0,"7","2009","WD",2,2,2,256300,0,0,1,1,0,1,0,192,124.53824953954,102400,612.038892229369,64
"27","20","RL",60,7200,"Pave","NoA","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Mn","BLQ",234,"Rec",486,180,900,"Y","SBrkr",900,0,0,900,0,1,1,0,3,1,"Gd",5,"Typ",0,"Detchd","Unf",2,576,"TA","Y",222,32,0,0,0,0,"NoF","NoM",0,"5","2010","WD",59,10,5,134800,0,0,0,1,0,1,0,50,40.2359478108525,22500,222.045907625104,25
"28","20","RL",98,11478,"Pave","NoA","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,"Gable","VinylSd","VinylSd","Stone",200,"Gd","TA","PConc","Ex","TA","No","GLQ",1218,"Unf",0,486,1704,"Y","SBrkr",1704,0,0,1704,1,0,2,0,3,1,"Gd",7,"Typ",1,"Attchd","RFn",3,772,"TA","Y",0,50,0,0,0,0,"NoF","NoM",0,"5","2010","WD",3,2,2,306000,0,0,1,1,0,1,0,192,124.53824953954,109056,598.283996074772,64
